label,poly,det,xor,xtime,involutory,mds,inv_det,inv_xor,inv_xtime,inv_involutory,inv_mds
KHAZAD,x^8 + x^7 + x^6 + x^4 + x^2 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1,0x1,112,120,True,True,0x1,112,120,True,True
Anubis,x^8 + x^4 + x^3 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^4 + x^3 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^5 + x^3 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^5 + x^3 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^5 + x^4 + x^3 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^5 + x^4 + x^3 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^3 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^5 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^5 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^5 + x^3 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^5 + x^4 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^5 + x^4 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^6 + x^5 + x^4 + x^3 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^3 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^3 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^4 + x^3 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^5 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^5 + x^3 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^5 + x^4 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x^4 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis,x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1,0x1,16,20,True,True,0x1,16,20,True,True
Anubis (key schedule),x^8 + x^4 + x^3 + x + 1,0x63,20,32,False,True,0xd3,65,96,False,True
Anubis (key schedule),x^8 + x^4 + x^3 + x^2 + 1,0xa5,20,32,False,True,0xc2,69,101,False,True
Anubis (key schedule),x^8 + x^5 + x^3 + x + 1,0xa9,20,32,False,True,0xef,71,100,False,True
Anubis (key schedule),x^8 + x^5 + x^3 + x^2 + 1,0x7b,20,32,False,True,0xb1,55,93,False,True
Anubis (key schedule),x^8 + x^5 + x^4 + x^3 + 1,0xe5,20,32,False,True,0x3c,59,97,False,True
Anubis (key schedule),x^8 + x^5 + x^4 + x^3 + x^2 + x + 1,0x3b,20,32,False,True,0x29,61,101,False,True
Anubis (key schedule),x^8 + x^6 + x^3 + x^2 + 1,0x9d,20,32,False,True,0xf4,47,81,False,True
Anubis (key schedule),x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,0xe1,20,32,False,True,0x18,55,104,False,True
Anubis (key schedule),x^8 + x^6 + x^5 + x + 1,0xec,20,32,False,True,0xd0,57,97,False,True
Anubis (key schedule),x^8 + x^6 + x^5 + x^2 + 1,0x4,20,32,False,True,0x59,57,93,False,True
Anubis (key schedule),x^8 + x^6 + x^5 + x^3 + 1,0xbd,20,32,False,True,0xd4,49,81,False,True
Anubis (key schedule),x^8 + x^6 + x^5 + x^4 + 1,0x96,20,32,False,True,0x4d,63,101,False,True
Anubis (key schedule),x^8 + x^6 + x^5 + x^4 + x^2 + x + 1,0x72,20,32,False,True,0x56,63,100,False,True
Anubis (key schedule),x^8 + x^6 + x^5 + x^4 + x^3 + x + 1,0xc1,20,32,False,True,0xf3,67,92,False,True
